date,open,high,low,close,volume,empty
2024-05-21T00:00:00+0530,62.25,65.35,59.15,65.35,1244000,0
2024-05-22T00:00:00+0530,62.1,64.4,62.1,62.1,294000,0
2024-05-23T00:00:00+0530,60.9,60.9,59,59.6,232000,0
2024-05-24T00:00:00+0530,57,58.95,56.7,56.95,192000,0
2024-05-27T00:00:00+0530,58.6,59,57.3,58,60000,0
2024-05-28T00:00:00+0530,57,57.45,55.1,55.25,76000,0
2024-05-29T00:00:00+0530,53.3,53.3,52.5,52.7,86000,0
2024-05-30T00:00:00+0530,52.65,52.65,50.1,50.55,120000,0
2024-05-31T00:00:00+0530,52.8,53.05,50.3,53.05,68000,0
2024-06-03T00:00:00+0530,55.3,55.3,53.35,54.65,38000,0
2024-06-04T00:00:00+0530,50.25,52.9,49.25,49.8,64000,0
2024-06-05T00:00:00+0530,49.8,51.85,49.5,50.65,30000,0
2024-06-06T00:00:00+0530,50.65,51.5,50.05,51.35,40000,0
2024-06-07T00:00:00+0530,51.5,51.85,50.3,50.5,42000,0
2024-06-10T00:00:00+0530,51.5,53.2,51.5,52.9,36000,0
2024-06-11T00:00:00+0530,52.9,54.8,52.9,53.6,34000,0
2024-06-12T00:00:00+0530,54,54,52.2,53.05,42000,0
2024-06-13T00:00:00+0530,53,55.4,53,55,50000,0
2024-06-14T00:00:00+0530,56,60,55,59.15,192000,0
2024-06-18T00:00:00+0530,62.5,67.15,62,64.1,288000,0
2024-06-19T00:00:00+0530,65.4,65.5,56.55,61.95,198000,0
2024-06-20T00:00:00+0530,61.8,61.8,58.55,59.8,88000,0
2024-06-21T00:00:00+0530,59.85,61.1,58.9,60.35,70000,0
2024-06-24T00:00:00+0530,60.35,60.35,58.6,59.9,56000,0
2024-06-25T00:00:00+0530,59.9,59.9,58.25,58.5,52000,0
2024-06-26T00:00:00+0530,60,60,58.5,59.65,48000,0
2024-06-27T00:00:00+0530,59.9,59.9,57,57.25,26000,0
2024-06-28T00:00:00+0530,57.25,58.95,57.25,58.95,28000,0
2024-07-01T00:00:00+0530,59.9,67,57.85,63,82000,0
2024-07-02T00:00:00+0530,65.9,65.9,61.05,62.3,106000,0
2024-07-03T00:00:00+0530,63,63,61.7,62.25,34000,0
2024-07-04T00:00:00+0530,62.25,64.4,62.25,63.35,114000,0
2024-07-05T00:00:00+0530,62,72.9,62,71.45,750000,0
2024-07-08T00:00:00+0530,73.9,74.4,65,67.55,372000,0
2024-07-09T00:00:00+0530,67.5,70,67,68.3,170000,0
2024-07-10T00:00:00+0530,69,69,63.5,66.7,86000,0
2024-07-11T00:00:00+0530,65.8,66.25,65.15,65.15,30000,0
2024-07-12T00:00:00+0530,66.3,66.3,64,64.4,38000,0
2024-07-15T00:00:00+0530,65.45,65.8,64,65.3,46000,0
2024-07-16T00:00:00+0530,68,68,62.05,62.05,64000,0
